PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Hogarth, S; Sullivan, R				Hogarth, Stuart; Sullivan, Richard			Genes, genes, genes	LANCET ONCOLOGY			English	Letter									[Hogarth, Stuart] Kings Coll London, London WC2R 2LS, England; [Sullivan, Richard] Kings Hlth Partners, Inst Canc Policy, London, England		Hogarth, S (corresponding author), Kings Coll London, London WC2R 2LS, England.	richard.sullivan@kcl.ac.uk		Sullivan, Richard/0000-0002-6435-1825; Hogarth, Stuart/0000-0001-6796-8815	Economic and Social Research CouncilUK Research & Innovation (UKRI)Economic & Social Research Council (ESRC) [ES/J012521/1] Funding Source: researchfish; ESRCUK Research & Innovation (UKRI)Economic & Social Research Council (ESRC) [ES/J012521/1] Funding Source: UKRI			4	1	1	1	4	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	1470-2045			LANCET ONCOL	Lancet Oncol.	MAR	2013	14	3					E88	E88		10.1016/S1470-2045(13)70042-1			1	Oncology	Science Citation Index Expanded (SCI-EXPANDED)	Oncology	103OV	WOS:000315928800003	23452358				2022-03-28	
J	Ge, DY; Li, YX				Ge, Dongya; Li, Yixue			SONGS OF GENES, BY GENES, FOR GENES	LEONARDO			English	Article							MUSIC; PROTEINS; SEQUENCE	The authors have defined a new concept of "base_position" and translated the protein-coding sequence to a sequence consisting of 12 base_positions. The authors developed a new algorithm for translating the base_position sequence to a melody with a range of at most a twelfth and without leaps larger than an octave, which should be turned upside-down by a step or small skip after a big leap and was used as the musical theme. The lyric was written according to the summary of the gene. The authors propose a new action of expressing respect to genes by creating songs of genes, by genes, for genes.	[Ge, Dongya; Li, Yixue] Chinese Acad Sci, Shanghai Inst Biol Sci, Key Lab Syst Biol, Shanghai 200031, Peoples R China; [Ge, Dongya] Chinese Acad Sci, Grad Sch, Beijing 100049, Peoples R China		Ge, DY (corresponding author), Chinese Acad Sci, Shanghai Inst Biol Sci, Key Lab Syst Biol, Shanghai 200031, Peoples R China.	dyge@sibs.ac.cn; yxli@sibs.ac.cn						11	0	0	0	0	MIT PRESS	CAMBRIDGE	ONE ROGERS ST, CAMBRIDGE, MA 02142-1209 USA	0024-094X	1530-9282		LEONARDO	Leonardo		2012	45	1					96	97		10.1162/LEON_a_00349			2	Art	Arts &amp; Humanities Citation Index (A&amp;HCI)	Art	886OY	WOS:000299864900027					2022-03-28	
J	Ge, DY; Li, YX				Ge, Dongya; Li, Yixue			SONGS OF GENES, BY GENES, FOR GENES	LEONARDO			English	Editorial Material							MUSIC; PROTEINS; SEQUENCE	The authors have defined a new concept of "base_position" and translated the protein-coding sequence to a sequence consisting of 12 base_positions. The authors developed a new algorithm for translating the base_position sequence to a melody with a range of at most a twelfth and without leaps larger than an octave, which should be turned upside-down by a step or small skip after a big leap and was used as the musical theme. The lyric was written according to the summary of the gene. The authors propose a new action of expressing respect to genes by creating songs of genes, by genes, for genes.	[Ge, Dongya; Li, Yixue] Chinese Acad Sci, Shanghai Inst Biol Sci, Key Lab Syst Biol, Shanghai 200031, Peoples R China; [Ge, Dongya] Chinese Acad Sci, Grad Sch, Beijing 100049, Peoples R China		Ge, DY (corresponding author), Chinese Acad Sci, Shanghai Inst Biol Sci, Key Lab Syst Biol, Shanghai 200031, Peoples R China.; Ge, DY (corresponding author), Chinese Acad Sci, Grad Sch, Beijing 100049, Peoples R China.	dyge@sibs.ac.cn; yxli@sibs.ac.cn						11	0	0	0	0	MIT PRESS	CAMBRIDGE	ONE ROGERS ST, CAMBRIDGE, MA 02142-1209 USA	0024-094X	1530-9282		LEONARDO	Leonardo	FEB 1	2012	45	1					96	97					2	Art	Arts &amp; Humanities Citation Index (A&amp;HCI)	Art	VK7BZ	WOS:000743649700029					2022-03-28	
J	Emily, M; Sounac, N; Kroell, F				Emily, M.; Sounac, N.; Kroell, F.			Analyzing Gene-Based Gene-Gene Interactions with R	HUMAN HEREDITY			English	Meeting Abstract	44th European Mathematical Genetics Meeting (EMGM)	MAY 11-12, 2016	Newcastle upon Tyne, ENGLAND						[Emily, M.; Sounac, N.; Kroell, F.] Agrocampus Ouest, Rennes, France; [Emily, M.] IRMAR CNRS UMR 6625, Rennes, France									0	0	0	0	1	KARGER	BASEL	ALLSCHWILERSTRASSE 10, CH-4009 BASEL, SWITZERLAND	0001-5652	1423-0062		HUM HERED	Hum. Hered.		2015	80	3				18	109	109					1	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Genetics & Heredity	DR8IA	WOS:000380140400019					2022-03-28	
J	Freedman, BI; Skorecki, K				Freedman, Barry I.; Skorecki, Karl			Gene-Gene and Gene-Environment Interactions in Apolipoprotein L1 Gene-Associated Nephropathy	CLINICAL JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY			English	Review							CHRONIC KIDNEY-DISEASE; STAGE RENAL-DISEASE; HIV-ASSOCIATED NEPHROPATHY; APOL1 RISK VARIANTS; FOCAL SEGMENTAL GLOMERULOSCLEROSIS; JC POLYOMA-VIRUS; AFRICAN-AMERICANS; NONDIABETIC NEPHROPATHY; DIABETIC-NEPHROPATHY; LUPUS NEPHRITIS	Molecular genetics have revolutionized the understanding of susceptibility to the broad spectrum of kidney diseases with light microscopic appearance of FSGS, particularly in populations with recent African ancestry. These disorders include idiopathic FSGS, HIV-associated nephropathy, severe lupus nephritis, sickle cell nephropathy, and the primary kidney disorder focal global glomerulosclerosis, which had historically been ascribed to systemic hypertension. FSGS was once thought to include a multitude of unrelated disorders with similar histologic appearance. However, variation in the apolipoprotein L1 gene locus is now known to account for the vast majority of such cases in African Americans as well as nearly all the excess risk for FSGS and related forms of progressive nondiabetic nephropathy in populations with recent African ancestry, relative to European ancestry. Inheriting two coding apolipoprotein 1:1 gene nephropathy risk variants is necessary for susceptibility to CKD; however, these variants alone are insufficient to produce disease. This work reviews the evidence supporting second hits or modifying factors that affect risk for apolipoprotein 1:1 gene-associated nephropathy and produce the protean manifestations of this common and complex syndrome. Targeting modifiable second factors will lead to preventive therapies for slowing progression of nondiabetic nephropathy in many patients possessing two apolipoprotein 1:11 gene risk variants. This model of genetic risk coupled with modifiable second hits will serve as a paradigm applicable to patients with CKD of various etiologies as well as a host of other complex disorders.	[Freedman, Barry I.] Wake Forest Sch Med, Dept Internal Med, Nephrol Sect, Winston Salem, NC 27157 USA; [Skorecki, Karl] Rambam Healthcare Campus, Mol Med Lab, Haifa, Israel		Freedman, BI (corresponding author), Wake Forest Sch Med, Dept Internal Med, Nephrol Sect, Med Ctr Blvd, Winston Salem, NC 27157 USA.	bfreedma@wakehealth.edu; skorecki@tx.technion.ac.il			National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA [R01-DK084149, R01-DK070941]; Ernest and Bonnie Beutler Research Program of Excellence in Genomic Medicine; Israel Science FoundationIsrael Science Foundation [3002/09]; United States-Israel Binational Science FoundationUS-Israel Binational Science Foundation [2013504]; NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK) [R01DK084149, R01DK070941] Funding Source: NIH RePORTER	This research was supported by National Institutes of Health Grants R01-DK084149 (to B.I.F.) and R01-DK070941 (to B.I.F.), The Ernest and Bonnie Beutler Research Program of Excellence in Genomic Medicine, Israel Science Foundation Grant Number 3002/09 (to K.S.), and United States-Israel Binational Science Foundation Grant 2013504 (to B.I.F. and K.S.).		73	67	68	0	8	AMER SOC NEPHROLOGY	WASHINGTON	1725 I ST, NW STE 510, WASHINGTON, DC 20006 USA	1555-9041	1555-905X		CLIN J AM SOC NEPHRO	Clin. J. Am. Soc. Nephrol.	NOV	2014	9	11					2006	2013		10.2215/CJN.01330214			8	Urology & Nephrology	Science Citation Index Expanded (SCI-EXPANDED)	Urology & Nephrology	AS7OY	WOS:000344446200027	24903390	Bronze, Green Published			2022-03-28	
J	Iftikhar, U; Kazmi, AH				Iftikhar, Usma; Kazmi, Atif Hasnain			Genes and Gene Therapy	JCPSP-JOURNAL OF THE COLLEGE OF PHYSICIANS AND SURGEONS PAKISTAN			English	Editorial Material							KERATINOCYTES; PROSPECTS; IMMUNITY; DISEASES; CANCER		[Iftikhar, Usma; Kazmi, Atif Hasnain] King Edward Med Univ, Dept Dermatol, Mayo Hosp, Lahore, Pakistan		Iftikhar, U (corresponding author), DHA, 357 AA,Phase 4, Lahore Cantt, Pakistan.	usma_iftikhar@hotmail.com	Iftikhar, Usma/AAW-2047-2020					21	0	0	0	4	COLL PHYSICIANS & SURGEONS PAKISTAN	KARACHI	SEVENTH CENTRAL ST, DEFENCE HOUSING AUTHORITY, KARACHI, 75500, PAKISTAN	1022-386X			JCPSP-J COLL PHYSICI	JCPSP-J. Coll. Physicians Surg.	JUN	2011	21	6					323	324					2	Medicine, General & Internal	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine	775HM	WOS:000291449600001	21711984				2022-03-28	
J	Wang, MH; Fiocchi, C; Zhu, XF; Ripke, S; Kamboh, MI; Rebert, N; Duerr, RH; Achkar, JP				Wang, Ming-Hsi; Fiocchi, Claudio; Zhu, Xiaofeng; Ripke, Stephan; Kamboh, M. Ilyas; Rebert, Nancy; Duerr, Richard H.; Achkar, Jean-Paul			Gene-gene and gene-environment interactions in ulcerative colitis	HUMAN GENETICS			English	Article							INFLAMMATORY-BOWEL-DISEASE; PRIMARY SCLEROSING CHOLANGITIS; GENOME-WIDE ASSOCIATION; MAJOR HISTOCOMPATIBILITY COMPLEX; LOGIC REGRESSION; RISK LOCI; RHEUMATOID-ARTHRITIS; GENOTYPE IMPUTATION; SMOKING; SUSCEPTIBILITY	Genome-wide association studies (GWAS) have identified at least 133 ulcerative colitis (UC) associated loci. The role of genetic factors in clinical practice is not clearly defined. The relevance of genetic variants to disease pathogenesis is still uncertain because of not characterized gene-gene and gene-environment interactions. We examined the predictive value of combining the 133 UC risk loci with genetic interactions in an ongoing inflammatory bowel disease (IBD) GWAS. The Wellcome Trust Case-Control Consortium (WTCCC) IBD GWAS was used as a replication cohort. We applied logic regression (LR), a novel adaptive regression methodology, to search for high-order interactions. Exploratory genotype correlations with UC sub-phenotypes [extent of disease, need of surgery, age of onset, extra-intestinal manifestations and primary sclerosing cholangitis (PSC)] were conducted. The combination of 133 UC loci yielded good UC risk predictability [area under the curve (AUC) of 0.86]. A higher cumulative allele score predicted higher UC risk. Through LR, several lines of evidence for genetic interactions were identified and successfully replicated in the WTCCC cohort. The genetic interactions combined with the gene-smoking interaction significantly improved predictability in the model (AUC, from 0.86 to 0.89, P = 3.26E-05). Explained UC variance increased from 37 to 42 % after adding the interaction terms. A within case analysis found suggested genetic association with PSC. Our study demonstrates that the LR methodology allows the identification and replication of high-order genetic interactions in UC GWAS datasets. UC risk can be predicted by a 133 loci and improved by adding gene-gene and gene-environment interactions.	[Wang, Ming-Hsi; Fiocchi, Claudio; Achkar, Jean-Paul] Cleveland Clin, Inst Digest Dis, Dept Gastroenterol & Hepatol, Cleveland, OH 44195 USA; [Wang, Ming-Hsi; Fiocchi, Claudio; Rebert, Nancy; Achkar, Jean-Paul] Cleveland Clin, Dept Pathobiol, Lerner Res Inst, Cleveland, OH 44195 USA; [Zhu, Xiaofeng] Case Western Reserve Univ, Dept Epidemiol & Biostat, Cleveland, OH 44106 USA; [Ripke, Stephan] Massachusetts Gen Hosp, Analyt & Translat Genet Unit, Boston, MA 02114 USA; [Ripke, Stephan] Broad Inst Harvard & MIT, Stanley Ctr Psychiat Res, Cambridge, MA USA; [Kamboh, M. Ilyas; Duerr, Richard H.] Univ Pittsburgh, Grad Sch Publ Hlth, Dept Human Genet, Pittsburgh, PA 15261 USA; [Duerr, Richard H.] Univ Pittsburgh, Sch Med, Dept Med, Div Gastroenterol Hepatol & Nutr, Pittsburgh, PA 15213 USA		Achkar, JP (corresponding author), Cleveland Clin, Inst Digest Dis, Dept Gastroenterol & Hepatol, 9500 Euclid Ave,Desk A31, Cleveland, OH 44195 USA.	wangm3@ccf.org; achkarj@ccf.org	Ripke, Stephan/AAK-5486-2021; Duerr, Richard H/B-4188-2009; Zhu, Xiaofeng/O-6874-2019	Duerr, Richard H/0000-0001-6586-3905; ripke, stephan/0000-0003-3622-835X; Kamboh, M. Ilyas/0000-0002-3453-1438; Zhu, Xiaofeng/0000-0003-0037-411X	NIH-National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK) [T32 DK083251, DK068112, DK062420, DK076025, AG030653]; Crohn's and Colitis Foundation of America Senior Research Award; Kenneth and Jennifer Rainin; Wesley Roj; Douglas Durham Roj Endowed Fund; Gerald and Nancy Goldberg; NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK) [R01DK076025, K23DK068112, T32DK083251, U01DK062420, T32DK061917] Funding Source: NIH RePORTER; NATIONAL INSTITUTE ON AGINGUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA) [R01AG030653] Funding Source: NIH RePORTER	T32 DK083251, NIH-National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) (M-H W, CF); DK068112 (J-PA), DK062420 (RHD) and DK076025 (RHD); AG030653 (MIK); a Crohn's and Colitis Foundation of America Senior Research Award (RHD); and funds generously provided by Kenneth and Jennifer Rainin, the Wesley Roj and Douglas Durham Roj Endowed Fund, and Gerald and Nancy Goldberg.		55	20	21	0	6	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0340-6717	1432-1203		HUM GENET	Hum. Genet.	MAY	2014	133	5					547	558		10.1007/s00439-013-1395-z			12	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	AF2CJ	WOS:000334519900007	24241240	Green Accepted			2022-03-28	
J	Ding, B; Kallberg, H; Klareskog, L; Padyukov, L; Alfredsson, L				Ding, Bo; Kallberg, Henrik; Klareskog, Lars; Padyukov, Leonid; Alfredsson, Lars			GEIRA: gene-environment and gene-gene interaction research application	EUROPEAN JOURNAL OF EPIDEMIOLOGY			English	Article						GWAS; Interaction; Program	COMMON HUMAN-DISEASES; RHEUMATOID-ARTHRITIS; SUSCEPTIBILITY; GENOME; ASSOCIATION; ANTAGONISM; SYNERGY; SMOKING; LINKAGE; LOCUS	The GEIRA (Gene-Environment and Gene-Gene Interaction Research Application) algorithm and subsequent program is dedicated to genome-wide gene-environment and gene-gene interaction analysis. It implements concepts of both additive and multiplicative interaction as well as calculations based on dominant, recessive and co-dominant genetic models, respectively. Estimates of interactions are incorporated in a single table to make the output easily read. The algorithm is coded in both SAS and R. GEIRA is freely available to non-commercial users at http://www.epinet.se. Additional information, including user's manual and example datasets is available online at http://www.epinet.se.	[Ding, Bo; Kallberg, Henrik; Alfredsson, Lars] Karolinska Inst, Inst Environm Med, SE-17177 Stockholm, Sweden; [Klareskog, Lars; Padyukov, Leonid] Karolinska Inst, Dept Med, Rheumatol Unit, SE-17176 Stockholm, Sweden		Ding, B (corresponding author), Karolinska Inst, Inst Environm Med, Box 210, SE-17177 Stockholm, Sweden.	Bo.Ding@ki.se	Alfredsson, Lars/AAC-9007-2019; Padyukov, Leonid/A-4890-2009	Alfredsson, Lars/0000-0003-1688-6697; Padyukov, Leonid/0000-0003-2950-5670; Klareskog, Lars/0000-0001-9601-6186	Swedish Medical Research CouncilSwedish Medical Research Council (SMRC)European Commission; Swedish King Gustaf V's 80-year foundation; Swedish Ulla and Gustaf af Uggla Foundation; Swedish COMBINE program; Swedish council for working life and social science COFAS	This work has been financially supported by the Swedish Medical Research Council [to L. A.], the Swedish King Gustaf V's 80-year foundation [to B. D.], the Swedish Ulla and Gustaf af Uggla Foundation Research Grant [to B. D.], the Swedish COMBINE program [to L. K.], Swedish council for working life and social science COFAS [to H.K.].		25	12	13	2	4	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	0393-2990	1573-7284		EUR J EPIDEMIOL	Eur. J. Epidemiol.	JUL	2011	26	7					557	561		10.1007/s10654-011-9582-5			5	Public, Environmental & Occupational Health	Science Citation Index Expanded (SCI-EXPANDED)	Public, Environmental & Occupational Health	797YB	WOS:000293165100006	21519893	hybrid, Green Published			2022-03-28	
J	Lee, JH; Park, CS				Lee, June-Hyuk; Park, Choon-Sik			Gene - Gene Interactions Among MCP Genes Polymorphisms in Asthma	ALLERGY ASTHMA & IMMUNOLOGY RESEARCH			English	Article						Asthma; epistasis; polymorphism; monocyte chemoattractant proteins	MONOCYTE CHEMOATTRACTANT PROTEIN-1; CHEMOTACTIC PROTEIN-3; REGULATORY REGION; ASSOCIATION; SUSCEPTIBILITY; EXPRESSION; CHILDREN; RANTES; EXACERBATION; PATHOGENESIS	Purpose: Monocyte chemoattractant proteins (MCPs) are important cytokines that involved in cellular activation and releasing of inflammatoy mediators by basophils and eosinophils in allergic disease. Some MCP gene variants implicate in asthma and monoclonal antibody for MCP-3 blocks allergic inflammations in the patients with asthma. Detection of interactions between gene and environment or between genes for complex disease such as asthma is important. We searched for an evidence of genetic effect of single nucleotide polymorphisms (SNPs) of MCP genes as well as gene gene interactions involved in asthma. Methods: Four hundreds asthmatics and four hundreds normal controls were enrolled. Asthma was defined as a positive bronchodilator response or positive methacholine provocation test with compatible clinical symptoms. Seven MCP gene SNPs (2 SNPs in MCP-1, 1 in MCP-2, and 4 in MCP-3) were included. Association analyses between SNP and asthma, and the tests for gene gene interaction were performed. Results: Strong linkage disequilibria were found among 7 MCP gene polymorphisms. There was no SNP that showed a significant association with asthma among 7 SNPs of 3 MCP genes. No haplotype was associated with asthma, either. The combination of MCP1-25186>A, MCP2+46A>C, and MCP3+563C>T was the best predictive model for asthma as compared to the control in tests for gene gene interaction. The MCP1-2518G>A and MCP2+46A>C was the second best predictive combination and this had the highest synergistic interaction effect on the subject's status than any other combination of polymorphisms. Complete linkages were not associated with the gene gene interactions models. Conclusions: MCP gene polymorphisms probably interact with each other; thus, these findings may help in developing a possible genetic marker to predict asthma.	[Lee, June-Hyuk; Park, Choon-Sik] Soonchunhyang Univ, Bucheon Hosp, Puchon 420021, South Korea		Park, CS (corresponding author), Soonchunhyang Univ, Bucheon Hosp, 170 Jomaru Ro, Puchon 420021, South Korea.	mdcspark@unitel.co.kr						36	7	8	0	6	KOREAN ACAD ASTHMA ALLERGY & CLINICAL IMMUNOLOGY	JONGNO-GU	RM 1705, KUMHO BLDG 327-2, CHANGSINDONG, JONGNO-GU, SEOUL 110-540, SOUTH KOREA	2092-7355	2092-7363		ALLERGY ASTHMA IMMUN	Allergy Asthma Immunol. Res.	JUL	2014	6	4					333	340		10.4168/aair.2014.6.4.333			8	Allergy; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Allergy; Immunology	AL0IH	WOS:000338810100009	24991457	Green Submitted, Green Published			2022-03-28	
J	McCarthy, N				McCarthy, Nicola			BREAST CANCER Genes, genes everywhere ...	NATURE REVIEWS CANCER			English	News Item														McCarthy, Nicola/0000-0001-6990-3943				4	1	1	0	5	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1474-175X			NAT REV CANCER	Nat. Rev. Cancer	AUG	2012	12	8					507	507		10.1038/nrc3323			1	Oncology	Science Citation Index Expanded (SCI-EXPANDED)	Oncology	978AZ	WOS:000306712500005	22763664	Bronze			2022-03-28	
